time-ns, LogName,queueDelay,queueDelayMax,queueDelayMinAvg,sRtt,cwnd,bytesInFlightLog,rateTransmitted,isInFastStart,rtpQueueDelay,bytes,size,targetBitrate,rateRtp,packetsRtp,rateTransmittedStream,rateAcked,rateLost,rateCe,hiSeqAck,packetetsRtpCleared,packetsLost,rtpqueue_full
442527816089248,scream_lib Log, 0.000, 0.000, 0.000, 0.000,   9720,   7956,   2879, 1, 0.000, 0,0,  3081,   2879, 307,   2879,   2879,     0,     0,   309, 0,0,0
442528817348903,scream_lib Log, 0.000, 0.000, 0.000, 0.000,  14596,  11677,   4296, 1, 0.000, 0,0,  4551,   4296, 729,   4296,   4296,     0,     0,   731, 0,0,0
442529818176719,scream_lib Log, 0.001, 0.000, 0.000, 0.000,  21420,  17575,   6402, 1, 0.000, 0,0,  6615,   6402, 1341,   6402,   6402,     0,     0,  1343, 0,0,0
442530819368270,scream_lib Log, 0.001, 0.000, 0.000, 0.001,  32235,  26526,   9596, 1, 0.000, 0,0,  9911,   9596, 2251,   9596,   9596,     0,     0,  2253, 0,0,0
442531819781755,scream_lib Log, 0.001, 0.000, 0.000, 0.001,  33453,  26763,  10554, 1, 0.000, 0,0, 10000,  10554, 3351,  10554,  10554,     0,     0,  3353, 0,0,0
442532821015522,scream_lib Log, 0.001, 0.001, 0.000, 0.001,  33430,  14736,  10396, 1, 0.010, 1323,2, 10000,  10777, 4451,  10396,  10300,     0,     0,  4447, 0,0,0
442533822134644,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  14736,  10182, 1, 0.000, 0,0, 10000,  10136, 5506,  10182,  10285,     0,     0,  5508, 0,0,0
442534823386206,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  13508,  10209, 1, 0.000, 0,0, 10000,  10096, 6556,  10209,  10043,     0,     0,  6558, 0,0,0
442535823668585,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  14736,  10087, 1, 0.000, 0,0, 10000,  10060, 7606,  10087,  10183,     0,     0,  7608, 0,0,0
442536824893133,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  14736,  10116, 1, 0.000, 0,0, 10000,  10018, 8656,  10116,  10120,     0,     0,  8658, 0,0,0
442537826143414,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  14736,  10104, 1, 0.000, 0,0, 10000,  10387, 9706,  10104,   9966,     0,     0,  9708, 0,0,0
442538827371517,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  14736,   9968, 1, 0.000, 0,0, 10000,   9931, 10756,   9968,  10071,     0,     0, 10758, 0,0,0
442539827669332,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  14736,  10081, 1, 0.000, 0,0, 10000,   9971, 11806,  10081,   9963,     0,     0, 11808, 0,0,0
442540828939757,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  14736,  10074, 1, 0.000, 0,0, 10000,   9976, 12856,  10074,  10176,     0,     0, 12858, 0,0,0
442541830075744,scream_lib Log, 0.000, 0.001, 0.000, 0.000,  33430,  13508,   9920, 1, 0.000, 0,0, 10000,   9910, 13906,   9920,   9924,     0,     0, 13908, 0,0,0
442542831309728,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  14736,   9955, 1, 0.001, 20136,17, 10000,   9945, 14977,   9955,   9955,     0,     0, 14959, 0,0,0
442543832598185,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  14736,  10116, 1, 0.002, 20096,17, 10000,  10126, 16027,  10116,   9995,     0,     0, 16009, 0,0,0
442544833816871,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  13508,   9987, 1, 0.003, 15186,13, 10000,   9965, 17077,   9987,   9987,     0,     0, 17059, 0,0,0
442545834176690,scream_lib Log, 0.000, 0.001, 0.000, 0.001,  33430,  14736,  10016, 1, 0.003, 15236,13, 10000,  10406, 18127,  10016,  10020,     0,     0, 18109, 0,0,0
